__ticks __seconds ch event__________ data____
      0    0.0000 -- SMF Header      Format=1, Tracks=12, Division=96
      0    0.0000 -- Track           Start: 1
      0    0.0000 -- Text (3)        Jingle Bells - in Little Bavaria
      0    0.0000 -- Text (3)        Christmas Song - Polka Style
      0    0.0000 -- Text (2)        Copyright 1997 - Lari/Tan Studios
      0    0.0000 -- Text (1)        Sequenced by: Larrie Dee (larrie@pacbell.net)

      0    0.0000 -- Text (1)        Especially for: Bomi

      0    0.0000 -- Text (1)        Instructions: Play thru MIDI module, not sound card

      0    0.0000 -- Forced port     0
      0    0.0000 -- SysEx           f0 7e 7f  9  1 f7 
      0    0.0000 -- Forced port     0
      0    0.0000 -- Time Signature  4, 2, 24, 8
      0    0.0000 -- Key Signature   -1, 0
      0    0.0000 -- Tempo           500000
      0    0.0000 -- Text (6)        Jingle Bells - in Little Bavaria
    384    2.0000 -- Tempo           500000
    384    2.0000 -- Meta Event      End Of Track
    384    2.0000 -- Track           End: 1
      0    0.0000 -- Track           Start: 2
      0    0.0000 -- Forced port     0
      0    0.0000 -- Text (3)        "Jimgle Bells"
     96    0.5000  0 Control Change  0, 0
     97    0.5050  0 Control Change  32, 0
     98    0.5106  0 Program Change  60
     99    0.5156  0 Control Change  7, 125
     99    0.5156  0 Control Change  10, 64
    384    2.0000  0 Control Change  91, 52
    384    2.0000  0 Control Change  93, 127
   2310   12.0313  0 Note On         60, 114
   2354   12.2606  0 Note On         69, 110
   2358   12.2813  0 Note On         60, 0
   2376   12.3750  0 Note On         69, 0
   2403   12.5156  0 Note On         67, 82
   2417   12.5887  0 Note On         67, 0
   2447   12.7450  0 Note On         65, 127
   2463   12.8281  0 Note On         65, 0
   2498   13.0106  0 Note On         60, 120
   2512   13.0831  0 Note On         60, 0
   2694   14.0313  0 Note On         60, 104
   2719   14.1613  0 Note On         60, 0
   2735   14.2450  0 Note On         69, 108
   2756   14.3544  0 Note On         69, 0
   2782   14.4894  0 Note On         67, 104
   2801   14.5887  0 Note On         67, 0
   2829   14.7344  0 Note On         65, 126
   2844   14.8125  0 Note On         65, 0
   2874   14.9688  0 Note On         62, 127
   2890   15.0519  0 Note On         62, 0
   3075   16.0156  0 Note On         62, 120
   3108   16.1875  0 Note On         62, 0
   3118   16.2394  0 Note On         70, 116
   3135   16.3281  0 Note On         70, 0
   3166   16.4894  0 Note On         69, 120
   3183   16.5781  0 Note On         69, 0
   3213   16.7344  0 Note On         67, 122
   3230   16.8231  0 Note On         67, 0
   3261   16.9844  0 Note On         64, 122
   3278   17.0731  0 Note On         64, 0
   3461   18.0263  0 Note On         64, 108
   3462   18.0313  0 Note On         70, 122
   3475   18.0987  0 Note On         70, 0
   3481   18.1300  0 Note On         64, 0
   3507   18.2656  0 Note On         70, 127
   3508   18.2706  0 Note On         64, 110
   3522   18.3438  0 Note On         70, 0
   3524   18.3544  0 Note On         64, 0
   3555   18.5156  0 Note On         67, 127
   3556   18.5206  0 Note On         64, 116
   3571   18.5987  0 Note On         67, 0
   3573   18.6094  0 Note On         64, 0
   3602   18.7606  0 Note On         68, 126
   3604   18.7706  0 Note On         64, 110
   3615   18.8281  0 Note On         64, 0
   3616   18.8331  0 Note On         68, 0
   3651   19.0156  0 Note On         69, 126
   3652   19.0206  0 Note On         65, 126
   3664   19.0831  0 Note On         69, 0
   3667   19.0987  0 Note On         65, 0
   3844   20.0206  0 Note On         60, 108
   3885   20.2344  0 Note On         69, 114
   3888   20.2500  0 Note On         60, 0
   3908   20.3544  0 Note On         69, 0
   3935   20.4950  0 Note On         67, 108
   3955   20.5987  0 Note On         67, 0
   3983   20.7450  0 Note On         65, 120
   4002   20.8438  0 Note On         65, 0
   4035   21.0156  0 Note On         60, 114
   4055   21.1200  0 Note On         60, 0
   4227   22.0156  0 Note On         60, 110
   4267   22.2237  0 Note On         69, 108
   4270   22.2394  0 Note On         60, 0
   4289   22.3388  0 Note On         69, 0
   4317   22.4844  0 Note On         67, 116
   4334   22.5731  0 Note On         67, 0
   4366   22.7394  0 Note On         65, 122
   4383   22.8281  0 Note On         65, 0
   4414   22.9894  0 Note On         62, 126
   4432   23.0831  0 Note On         62, 0
   4613   24.0263  0 Note On         62, 120
   4655   24.2450  0 Note On         62, 0
   4659   24.2656  0 Note On         70, 114
   4677   24.3594  0 Note On         70, 0
   4704   24.5000  0 Note On         69, 94
   4721   24.5888  0 Note On         69, 0
   4751   24.7450  0 Note On         67, 120
   4776   24.8750  0 Note On         67, 0
   4798   24.9894  0 Note On         64, 114
   4803   25.0156  0 Note On         72, 116
   4818   25.0938  0 Note On         72, 0
   4818   25.0938  0 Note On         64, 0
   4850   25.2606  0 Note On         64, 114
   4851   25.2656  0 Note On         72, 116
   4863   25.3281  0 Note On         72, 0
   4866   25.3438  0 Note On         64, 0
   4898   25.5106  0 Note On         72, 126
   4899   25.5156  0 Note On         64, 120
   4949   25.7763  0 Note On         64, 0
   4964   25.8544  0 Note On         72, 0
   4970   25.8856  0 Note On         64, 110
   4970   25.8856  0 Note On         70, 114
   4995   26.0156  0 Note On         74, 122
   5003   26.0575  0 Note On         70, 0
   5013   26.1094  0 Note On         74, 0
   5014   26.1144  0 Note On         64, 0
   5040   26.2500  0 Note On         64, 88
   5043   26.2656  0 Note On         72, 116
   5058   26.3438  0 Note On         64, 0
   5060   26.3544  0 Note On         72, 0
   5088   26.5000  0 Note On         70, 126
   5105   26.5888  0 Note On         70, 0
   5131   26.7237  0 Note On         67, 116
   5158   26.8644  0 Note On         67, 0
   5183   26.9950  0 Note On         65, 127
   5386   28.0519  0 Note On         65, 0
   5428   28.2706  0 Note On         69, 127
   5429   28.2763  0 Note On         65, 122
   5436   28.3125  0 Note On         69, 0
   5437   28.3175  0 Note On         65, 0
   5472   28.5000  0 Note On         65, 122
   5475   28.5156  0 Note On         69, 127
   5483   28.5575  0 Note On         69, 0
   5485   28.5675  0 Note On         65, 0
   5571   29.0156  0 Note On         69, 114
   5571   29.0156  0 Note On         65, 114
   5583   29.0781  0 Note On         69, 0
   5584   29.0831  0 Note On         65, 0
   5615   29.2450  0 Note On         69, 127
   5620   29.2706  0 Note On         65, 114
   5628   29.3125  0 Note On         65, 0
   5628   29.3125  0 Note On         69, 0
   5663   29.4950  0 Note On         69, 122
   5667   29.5156  0 Note On         65, 100
   5674   29.5519  0 Note On         65, 0
   5675   29.5575  0 Note On         69, 0
   5767   30.0362  0 Note On         69, 122
   5808   30.2500  0 Note On         69, 0
   5813   30.2763  0 Note On         72, 108
   5836   30.3956  0 Note On         72, 0
   5859   30.5156  0 Note On         65, 120
   5883   30.6406  0 Note On         65, 0
   5897   30.7138  0 Note On         67, 122
   5930   30.8856  0 Note On         67, 0
   5957   31.0263  0 Note On         65, 116
   5957   31.0263  0 Note On         69, 120
